M Train,Patti Smith
Please Kill Me,Legs McNeil and Gillian McCain
Revelation Space,Alastair Reynolds
City of Quartz,Mike Davis
Left Hand of Darkness,Ursula K. Le Guin
True Names,Vernor Vinge
Snow Crash,Neal Stephenson
Neuromancer,William Gibson
Islands in the Net,Bruce Sterling
Kindred,Octavia E. Butler
The Dispossessed,Ursula K. Le Guin
Roadside Picnic,Arkady and Boris Strugatsky
The Lathe of Heaven,Ursula K. Le Guin
The Word for World is Forest,Ursula K. Le Guin
Dawn,Octavia E. Butler
Babel 17,Samuel R. Delany
Accelerando,Charles Stross
Chasm City,Alastair Reynolds
Star Maker,Olaf Stapledon
Big Dead Place,Nicholas Johnson
Pinpoint,Greg Milner
Magic and Loss,Virginia Heffernan
Dhalgren,Samuel R. Delany
The Real World of Technology,Ursula Franklin
The Transmigration of Bodies,Yuri Herrera (Lisa Dillman translation)
Making the Second Ghetto,Arnold Hirsch
Of Walking in Ice,Werner Herzog
The Periphreal,William Gibson
Red Mars,Kim Stanley Robinson
Pattern Recognition,William Gibson
Close to the Machine: Technophilia and Its Discontents,Ellen Ullman
